	gene	p_val	p_val_corrected
351	TBX21	0.0	0.0
189	EGR3	0.0	0.0
188	ZNF449	0.0	0.0
43	ZBTB18	0.0	0.0
350	MEOX1	0.0	0.0
121	RREB1	0.0	0.0
23	ETV3	0.0	0.0
15	NFIA	0.0	0.0
446	ZNF135	2.150435032276156e-209	1.1134474722674318e-207
111	NR3C1	9.169434754962978e-199	4.2729565958127476e-197
324	TBX6	5.297451261978778e-149	2.244192989165555e-147
87	ETV5	2.2640299059253553e-132	8.791982801343464e-131
255	MXI1	3.285676488516659e-125	1.177788648960587e-123
387	NFATC2	2.4623255159082107e-95	8.196026360094473e-94
256	TCF7L2	7.399102001270907e-85	2.2986543550614953e-83
83	NR1I2	9.950691757880676e-82	2.898138974482747e-80
150	ETV1	4.1470651157162556e-76	1.1367837317198677e-74
345	NR1D1	4.7382291915890074e-70	1.2266748907113762e-68
102	IRF2	3.315634316842309e-61	8.132029429729031e-60
291	IRF9	4.8128925548970366e-61	1.1214039652910095e-59
365	SOX9	3.0982923483157963e-59	6.875258258643624e-58
384	MYBL2	1.1519792430814063e-56	2.440101487617888e-55
262	VDR	1.2541768287356516e-49	2.5410713138731028e-48
4	RUNX3	4.7222735215950725e-49	9.169081087763766e-48
94	CLOCK	1.851978237090568e-48	3.4520874339368184e-47
105	IRF1	1.6803935045343463e-47	3.01178220428079e-46
337	SOX15	2.611733383988728e-47	4.507658359032397e-46
80	MITF	3.885324264536949e-46	6.466289668836494e-45
344	THRA	5.446128991184288e-41	8.75136589617889e-40
199	MSC	1.228831321407646e-40	1.9087846525865437e-39
246	BARX2	4.203137653198629e-40	6.318264988356649e-39
245	FLI1	1.853351158230489e-36	2.6989426241731496e-35
233	MYOD1	4.666411495093637e-34	6.589538656707985e-33
72	PPARG	2.9899460716689032e-27	4.097984909993261e-26
18	RFX5	2.0704384009812293e-26	2.7566408424492937e-25
7	POU3F1	2.8830808895960385e-26	3.7319880404215385e-25
326	HSF4	5.745100718225707e-25	7.235721445116701e-24
358	HOXB7	1.5989984652951692e-24	1.960877065335655e-23
19	RORC	1.183892660036941e-22	1.4145999476338834e-21
100	NR3C2	2.933075515764042e-22	3.417032975865109e-21
406	JUND	3.9099189061238377e-22	4.443956610374898e-21
280	NFYB	1.2428122778558489e-21	1.3789298130495845e-20
16	GFI1	2.5344271939622874e-21	2.7466117962475017e-20
385	SNAI1	1.7423362155837224e-20	1.8452924465045786e-19
249	ZEB1	1.7963564689197187e-19	1.8602269211479756e-18
296	HIF1A	9.968383988617336e-19	1.0098406388468868e-17
173	IRF5	9.24884218766784e-18	9.170128637134498e-17
264	POU6F1	1.3028483603300432e-17	1.2648486164870837e-16
355	HOXB4	3.6166350623389104e-17	3.439493753163127e-16
50	FOSL2	1.9019065541416383e-16	1.772576908460007e-15
314	SMAD3	6.264049831092447e-16	5.723622002527608e-15
288	TFDP1	8.67405839178331e-16	7.773290789559658e-15
9	NFYC	3.1510262928566635e-15	2.7705250046626513e-14
450	MZF1	3.863704621481595e-14	3.334233988167451e-13
101	HAND2	6.286942093275907e-14	5.326754573575587e-13
75	NR1D2	1.7260813885437393e-13	1.4363462983238973e-12
212	GLIS3	3.4440295034071426e-13	2.815645172960927e-12
418	ZBTB32	4.878841975806677e-13	3.919897173665364e-12
198	MYBL1	9.18478729219407e-13	7.254425217224468e-12
1	TP73	1.155940164726255e-12	8.97780194604058e-12
196	PLAG1	1.7775945944090228e-12	1.3579657065485321e-11
67	KLF7	2.1220249995097395e-12	1.569624840907204e-11
37	ELK4	2.1009733687410462e-12	1.569624840907204e-11
244	ETS1	2.9580780830790423e-12	2.1538506042419277e-11
285	KLF5	8.441666198281181e-12	6.052025305229278e-11
275	E2F7	1.0042862267868786e-11	7.090869419434628e-11
